start,startPosition,end,endPosition,frequency
41,"[144.4600067, 172.7590027, 126.1689987]",77,"[147.1609955, 134.2330017, 165.076004]",1
41,"[144.4600067, 172.7590027, 126.1689987]",79,"[151.3110046, 110.5469971, 164.7810059]",1
41,"[144.4600067, 172.7590027, 126.1689987]",81,"[131.3990021, 172.6230011, 161.6049957]",3
41,"[144.4600067, 172.7590027, 126.1689987]",82,"[138.1589966, 161.0829926, 165.0639954]",1
41,"[144.4600067, 172.7590027, 126.1689987]",83,"[140.5249939, 148.4060059, 167.2109985]",5
41,"[144.4600067, 172.7590027, 126.1689987]",84,"[142.7519989, 136.5160065, 168.7149963]",3
41,"[144.4600067, 172.7590027, 126.1689987]",89,"[128.6710052, 165.6470032, 169.845993]",1
41,"[144.4600067, 172.7590027, 126.1689987]",92,"[140.1150055, 132.2189941, 171.2709961]",3
41,"[144.4600067, 172.7590027, 126.1689987]",98,"[122.9209976, 155.6080017, 177.2480011]",1
45,"[156.0410004, 139.3359985, 136.3329926]",13,"[138.2689972, 179.3699951, 124.5009995]",1
45,"[156.0410004, 139.3359985, 136.3329926]",19,"[134.6849976, 137.822998, 78.49230194]",1
45,"[156.0410004, 139.3359985, 136.3329926]",30,"[158.427002, 127.9219971, 122.7289963]",1
45,"[156.0410004, 139.3359985, 136.3329926]",36,"[146.3049927, 58.26319885, 135.0350037]",1
45,"[156.0410004, 139.3359985, 136.3329926]",37,"[149.3670044, 59.48680115, 141.0269928]",2
45,"[156.0410004, 139.3359985, 136.3329926]",40,"[150.8509979, 71.82060242, 164.5240021]",1
45,"[156.0410004, 139.3359985, 136.3329926]",57,"[143.9880066, 174.8549957, 137.7160034]",2
45,"[156.0410004, 139.3359985, 136.3329926]",58,"[146.345993, 165.3130035, 141.4450073]",2
45,"[156.0410004, 139.3359985, 136.3329926]",59,"[151.7429962, 155.5279999, 144.3860016]",5
45,"[156.0410004, 139.3359985, 136.3329926]",60,"[151.2940063, 145.7890015, 147.4069977]",1
45,"[156.0410004, 139.3359985, 136.3329926]",62,"[155.1399994, 128.4019928, 151.8249969]",2
45,"[156.0410004, 139.3359985, 136.3329926]",63,"[156.1549988, 120.0169983, 153.4470062]",3
45,"[156.0410004, 139.3359985, 136.3329926]",70,"[151.7799988, 123.7529984, 158.2429962]",2
45,"[156.0410004, 139.3359985, 136.3329926]",72,"[156.5449982, 102.3290024, 159.7810059]",2
45,"[156.0410004, 139.3359985, 136.3329926]",74,"[143.0890045, 162.6399994, 158.6560059]",1
45,"[156.0410004, 139.3359985, 136.3329926]",77,"[147.1609955, 134.2330017, 165.076004]",1
45,"[156.0410004, 139.3359985, 136.3329926]",78,"[150.5050049, 122.2490005, 165.6860046]",2
45,"[156.0410004, 139.3359985, 136.3329926]",79,"[151.3110046, 110.5469971, 164.7810059]",2
45,"[156.0410004, 139.3359985, 136.3329926]",80,"[153.977005, 99.99990082, 164.8159943]",1
45,"[156.0410004, 139.3359985, 136.3329926]",81,"[131.3990021, 172.6230011, 161.6049957]",5
45,"[156.0410004, 139.3359985, 136.3329926]",83,"[140.5249939, 148.4060059, 167.2109985]",2
45,"[156.0410004, 139.3359985, 136.3329926]",85,"[142.0429993, 130.0619965, 169.8990021]",1
45,"[156.0410004, 139.3359985, 136.3329926]",87,"[146.7590027, 103.5790024, 170.7570038]",1
45,"[156.0410004, 139.3359985, 136.3329926]",89,"[128.6710052, 165.6470032, 169.845993]",1
45,"[156.0410004, 139.3359985, 136.3329926]",91,"[137.1580048, 147.8760071, 171.6820068]",3
